YEAR,CAUSE_NAME,region,DEATHS,AADR
2008,Cancer,Maryland,10360,180.06
2008,Cancer,Massachusetts,13031,177.23
2008,Cancer,Michigan,20211,184.41
2008,Cancer,Minnesota,9446,170.23
2008,Cancer,Mississippi,6166,202.85
2008,Cancer,Missouri,12523,189.49
2008,Cancer,Montana,1862,161.26
2008,Cancer,Nebraska,3376,169.74
2008,Cancer,Nevada,4404,179.41
2008,Cancer,New Hampshire,2576,177.31
2008,Cancer,New Jersey,16876,175.01
2008,Cancer,New Mexico,3355,160.33
2008,Cancer,New York,35351,166.91
2008,Cancer,North Carolina,17453,181.29
2008,Cancer,North Dakota,1354,171.35
2008,Cancer,Ohio,24998,191.91
2008,Cancer,Oklahoma,7657,193.13
2008,Cancer,Oregon,7479,177.01
2008,Cancer,Pennsylvania,28964,184.69
2008,Cancer,Rhode Island,2227,178.14
2008,Cancer,South Carolina,9199,189.99
2008,Cancer,South Dakota,1570,168.36
2008,Cancer,Tennessee,13162,197.21
2008,Cancer,Texas,35713,169.91
2008,Cancer,Utah,2492,125.43
2008,Cancer,Vermont,1279,176.34
2008,Cancer,Virginia,13983,179.08
2008,Cancer,Washington,11618,175.45
2008,Cancer,West Virginia,4605,198.47
2008,Cancer,Wisconsin,11185,177.77
2008,Cancer,Wyoming,874,156.72
2009,Cancer,Alabama,10289,196.32
2009,Cancer,Alaska,895,183
2009,Cancer,Arizona,10271,152.04
2009,Cancer,Arkansas,6513,198.27
2009,Cancer,California,55991,158.78
2009,Cancer,Colorado,6950,151.41
2009,Cancer,Connecticut,6819,162.8
2009,Cancer,Delaware,1813,178.65
2009,Cancer,District of Columbia,1131,197.44
2009,Cancer,Florida,40932,166.61
2009,Cancer,Georgia,15143,175.62
2009,Cancer,Hawaii,2244,141.31
2009,Cancer,Idaho,2458,158.93
2009,Cancer,Illinois,24185,181.75
2009,Cancer,Indiana,13093,190.4
2009,Cancer,Iowa,6249,170.41
2009,Cancer,Kansas,5319,171.88
2009,Cancer,Kentucky,9634,204.85
2009,Cancer,Louisiana,9098,198.57
2009,Cancer,Maine,3133,185.21
2009,Cancer,Maryland,10412,176.73
2009,Cancer,Massachusetts,13112,175.53
2009,Cancer,Michigan,20257,182.22
2009,Cancer,Minnesota,9580,168.67
2009,Cancer,Mississippi,6131,199.77
2009,Cancer,Missouri,12472,185.7
2009,Cancer,Montana,1914,163.04
2009,Cancer,Nebraska,3336,165.09
2009,Cancer,Nevada,4461,175.29
2009,Cancer,New Hampshire,2562,173.29
2009,Cancer,New Jersey,16541,168.97
2009,Cancer,New Mexico,3202,149.02
2009,Cancer,New York,35216,164.23
2009,Cancer,North Carolina,17513,176.86
2009,Cancer,North Dakota,1243,156.3
2009,Cancer,Ohio,25149,190.52
2009,Cancer,Oklahoma,7639,189.24
2009,Cancer,Oregon,7487,172.68
2009,Cancer,Pennsylvania,28881,182.51
2009,Cancer,Rhode Island,2220,174.87
2009,Cancer,South Carolina,9123,182.77
2009,Cancer,South Dakota,1503,158.66
2009,Cancer,Tennessee,13482,197.45
2009,Cancer,Texas,35591,164.43
2009,Cancer,Utah,2555,124.73
2009,Cancer,Vermont,1254,169.15
2009,Cancer,Virginia,14122,176.18
2009,Cancer,Washington,11922,174.85
2009,Cancer,West Virginia,4786,204.22
2009,Cancer,Wisconsin,10866,169.53
2009,Cancer,Wyoming,936,164.68
2010,Cancer,Alabama,10196,191.71
2010,Cancer,Alaska,884,176.92
2010,Cancer,Arizona,10678,154.24
2010,Cancer,Arkansas,6475,194.71
2010,Cancer,California,56453,156.85
2010,Cancer,Colorado,7035,149.5
2010,Cancer,Connecticut,6954,163.37
2010,Cancer,Delaware,1909,185.67
2010,Cancer,District of Columbia,1041,178.25
2010,Cancer,Florida,41467,165.59
2010,Cancer,Georgia,15435,174.84
2010,Cancer,Hawaii,2266,140.89
2010,Cancer,Idaho,2530,159.91
2010,Cancer,Illinois,24070,178.62
2010,Cancer,Indiana,13164,188.59
2010,Cancer,Iowa,6358,171.94
2010,Cancer,Kansas,5377,171.25
2010,Cancer,Kentucky,9930,208.32
2010,Cancer,Louisiana,9203,197.61
2010,Cancer,Maine,3248,187.85
2010,Cancer,Maryland,10269,171.21
2010,Cancer,Massachusetts,12993,171.33
2010,Cancer,Michigan,20620,182.88
2010,Cancer,Minnesota,9612,167.16
2010,Cancer,Mississippi,6271,201.42
2010,Cancer,Missouri,12626,185.57
2010,Cancer,Montana,1923,160.97
2010,Cancer,Nebraska,3438,167.39
2010,Cancer,Nevada,4529,174.19
2010,Cancer,New Hampshire,2525,167.87
2010,Cancer,New Jersey,16815,169.46
2010,Cancer,New Mexico,3358,152.4
2010,Cancer,New York,35431,163.14
2010,Cancer,North Carolina,18061,178.95
2010,Cancer,North Dakota,1269,157.07
2010,Cancer,Ohio,25083,187.74
2010,Cancer,Oklahoma,7831,191.32
2010,Cancer,Oregon,7638,173.88
2010,Cancer,Pennsylvania,29055,181.64
2010,Cancer,Rhode Island,2266,178.27
2010,Cancer,South Carolina,9356,183.62
2010,Cancer,South Dakota,1655,171.04
2010,Cancer,Tennessee,13593,195.69
2010,Cancer,Texas,36717,165.94
2010,Cancer,Utah,2810,133.71
2010,Cancer,Vermont,1392,183.25
2010,Cancer,Virginia,14080,172.42
2010,Cancer,Washington,11874,170.48
2010,Cancer,West Virginia,4685,197.99
2010,Cancer,Wisconsin,11279,174.5
2010,Cancer,Wyoming,1016,172.6
2011,Cancer,Alabama,10233,187.84
2011,Cancer,Alaska,935,175.53
2011,Cancer,Arizona,10690,148.53
2011,Cancer,Arkansas,6497,191.07
2011,Cancer,California,56449,151.98
2011,Cancer,Colorado,7051,143.85
2011,Cancer,Connecticut,6837,158.43
2011,Cancer,Delaware,1906,179.83
2011,Cancer,District of Columbia,1070,180.69
2011,Cancer,Florida,41681,161.17
2011,Cancer,Georgia,15602,170.34
2011,Cancer,Hawaii,2278,138.09
2011,Cancer,Idaho,2573,157.39
2011,Cancer,Illinois,24007,175.01
2011,Cancer,Indiana,13180,185.35
2011,Cancer,Iowa,6481,173.12
2011,Cancer,Kansas,5440,170.29
2011,Cancer,Kentucky,9733,200.79
2011,Cancer,Louisiana,9233,193.73
2011,Cancer,Maine,3201,182.18
2011,Cancer,Maryland,10249,166.06
2011,Cancer,Massachusetts,12895,166.94
2011,Cancer,Michigan,20420,177.75
